index,close,liveClose,Short_SMA,Rsi,RsiMA,Gamma,Gamma_Long,Gamma_Short,Rsi_Diff,Rsi_Crossover,Long_SMA,Bullish_SMA,Bearish_SMA,SMA_Diff,SMA_Crossover
1,4628.07,4628.07,,,,,0,0,0,0.0,,0,0,0,0.0
2,4628.07,4628.04,,,,,0,0,0,0.0,,0,0,0,0.0
3,4628.04,4628.24,,,,,0,0,0,0.0,,0,0,0,0.0
4,4628.24,4628.46,,,,,0,0,0,0.0,,0,0,0,0.0
5,4628.46,4628.69,,,,,0,0,0,0.0,,0,0,0,0.0
6,4628.69,4629.15,,,,,0,0,0,0.0,,0,0,0,0.0
7,4629.15,4628.66,,,,,0,0,0,0.0,,0,0,0,0.0
8,4628.66,4628.71,,,,,0,0,0,0.0,,0,0,0,0.0
9,4628.71,4628.71,,,,,0,0,0,0.0,,0,0,0,0.0
10,4628.71,4628.35,,,,,0,0,0,0.0,,0,0,0,0.0
11,4628.35,4628.46,,,,,0,0,0,0.0,,0,0,0,0.0
12,4628.46,4628.4,4628.4675,,,,0,0,0,0.0,,0,0,0,0.0
13,4628.4,4628.47,4628.495,,,,0,0,0,0.0,,0,0,0,0.0
14,4628.47,4628.22,4628.528333333333,,,,0,0,0,0.0,,0,0,0,0.0
15,4628.22,4628.71,4628.543333333333,46.2261233564337,,,0,0,0,0.0,,0,0,0,0.0
16,4628.71,4628.43,4628.5824999999995,59.41276107827628,,,0,0,0,0.0,,0,0,0,0.0
17,4628.43,4627.11,4628.58,51.622556367678904,,,0,0,0,0.0,,0,0,0,0.0
18,4627.11,4627.04,4628.448333333333,30.991760985482838,,,0,0,0,0.0,,0,0,0,0.0
19,4627.04,4626.96,4628.2725,30.300199583772013,,,0,0,0,0.0,,0,0,0,0.0
20,4626.96,4626.96,4628.130833333334,29.49028341597811,,,0,0,0,0.0,,0,0,0,0.0
21,4626.96,4627.24,4627.985,29.490283415978105,,,0,0,0,0.0,,0,0,0,0.0
22,4627.24,4627.42,4627.8625,36.39180803638387,,,0,0,0,0.0,,0,0,0,0.0
23,4627.42,4627.55,4627.785,40.428570992844676,,,0,0,0,0.0,,0,0,0,0.0
24,4627.55,4627.85,4627.7091666666665,43.230707013092655,,,0,0,0,0.0,,0,0,0,0.0
25,4627.85,4628.46,4627.663333333334,49.172438907919364,,,0,0,0,0.0,,0,0,0,0.0
26,4628.46,4628.99,4627.6625,58.649498486439214,,,0,0,0,0.0,4628.093461538461,1,0,1,1.0
27,4628.99,4629.04,4627.7266666666665,64.79201374294799,,,0,0,0,0.0,4628.128846153846,1,0,1,0.0
28,4629.04,4628.63,4627.754166666667,65.31546964281135,45.39389107328851,19.921578569522843,1,0,1,1.0,4628.166153846154,1,0,1,0.0
29,4628.63,4628.49,4627.770833333333,57.73530076451058,46.215975173865424,11.51932559064516,1,0,1,0.0,4628.1888461538465,1,0,1,0.0
30,4628.49,4628.72,4627.885833333334,55.37219359196459,45.92736321055745,9.444830381407137,1,0,1,0.0,4628.198461538462,1,0,1,0.0
31,4628.72,4628.86,4628.025833333333,58.38568022628576,46.41044348617222,11.975236740113537,1,0,1,0.0,4628.208461538461,1,0,1,0.0
32,4628.86,4628.87,4628.184166666667,60.149609600674324,48.4931469586859,11.656462641988426,1,0,1,0.0,4628.215,1,0,1,0.0
33,4628.87,4628.6,4628.343333333333,60.27912275224295,50.63449861357668,9.644624138666266,1,0,1,0.0,4628.204230769231,0,1,-1,-2.0
